learning_rate,gamma,ent_coef,n_steps,value,number
0.00029473951941085945,0.9728426218072269,8.410766834630291e-08,512,0.0,0
1.1722503766931447e-05,0.9514026017289068,0.002608291768288132,64,0.0,1
3.571124102615845e-05,0.9975646320917273,2.5036456369785318e-05,256,4.576128823377076,2
0.0003549037279667648,0.995749315392807,2.4808562913007152e-05,256,4.576128823377076,3
2.1844085659633872e-05,0.9501247227469015,7.90634543330281e-05,64,4.576128823377076,4
9.429474981499154e-05,0.9724676302525916,4.7636666471201257e-08,128,0.0,5
0.000717831039113601,0.9112579379878245,2.8810467617399206e-05,512,0.0,6
0.0003147026607857867,0.9594685664589406,0.00012676990875901974,256,0.0,7
9.86786034420457e-05,0.9741330570892776,5.730338264341831e-08,128,0.0,8
0.0003128856907063447,0.921892994918006,9.766912745764565e-06,512,3.6435245996544836,9
